,0
0,Colorado
1,Connecticut
2,Delaware
3,Georgia
4,Idaho
5,Illinois
6,Indiana
7,Kansas
8,Kentucky
9,Louisiana
10,Maine
11,Maryland
12,Massachusetts
13,Michigan
14,Minnesota
15,Mississippi
16,Missouri
17,Montana
18,Nebraska
19,New Hampshire
20,North Carolina
21,North Dakota
22,Oklahoma
23,Oregon
24,Pennsylvania
25,Rhode Island
26,South Carolina
27,South Dakota
28,Tennessee
29,Utah
30,Vermont
31,Virginia
32,Washington
33,West Virginia
34,Wisconsin
35,Wyoming
